#	For group	Name	Type	Parent	UniProt	PDB	DrugBank BI
1	1	Presenilin-1	Related	Gamma-Secretase	P49768	12	
2	1	nicastrin	Related	Gamma-Secretase	Q92542	13	
3	1	APH-1A (Gamma-secretase subunit APH-1A)	Related	Gamma-Secretase	Q96BI3	14	BE0003409
4	1	APH-1B (Gamma-secretase subunit)	Related	Gamma-Secretase	Q8WW43	43	
5	1	PEN-2 (presenilin enhancer 2)	Related	Gamma-Secretase	Q9NZ42	15	BE0003410
6	1	Basigin (BSG)	Related	Gamma-Secretase	P35613	7	
7	2	Janus kinase 1 (JAK1) 	Related	JAK (Janus kinase)	P23458	16	BE0004145 
8	2	Janus kinase 2 (JAK2) 	Related	JAK (Janus kinase)	O60674	17	BE0002408 
9	2	Janus kinase 3 (JAK3) 	Related	JAK (Janus kinase)	P52333	18	BE0003493 
10	2	Tyrosine kinase 2 (TYK2)	Related	JAK (Janus kinase)	P29597	19	BE0004146
11	5	Peroxisome proliferator-activated receptor gamma	Additional	Histone acetyltransferases	P37231	44	BE0000215
12	5	Vitamin D3 receptor	Additional	Histone acetyltransferases	P11473	45	BE0000779
13	5	Multidrug resistance-associated protein 5	Additional	Histone acetyltransferases	O15440	46	BE0003639
14	5	Carbonyl reductase [NADPH] 1	Additional	Histone acetyltransferases	P16152	47	BE0003074
15	5	Glutathione S-transferase P	Additional	Histone acetyltransferases	P09211	48	BE0000814
16	6	Receptor-type tyrosine-protein kinase FLT3	Related		P36888	20	BE0000147
17	6	Vascular endothelial growth factor receptor 3 (FLT4)	Additional		P35916	49	BE0000023
18	7	Prostaglandin G/H synthase 2	Related		P35354	10	BE0009550
19	8	Activin receptor type-1 / ALK-2	Related		Q04771	6	BE0000264
20	8	Bone morphogenetic protein receptor type-1A / BMPR1A	Related		P36894	8	BE0009272
21	8	Nuclear factor NF-kappa-B p100 subunit	Related	NF-κB / Nuclear factor NF-kappa-B	Q00653	2	BE0004903
22	8	Nuclear factor NF-kappa-B p105 subunit	Related	NF-κB / Nuclear factor NF-kappa-B	P19838	3	BE0004903
23	8	 Baculoviral IAP repeat-containing protein 5	Additional		O15392	50	
24	8	HTH-type transcriptional regulator QacR	Additional		P0A0N5	51	
25	8	DNA topoisomerase 2-alpha	Additional	DNA topoisomerase	P11388	52	
26	8	DNA topoisomerase 1	Additional	DNA topoisomerase	P11387	53	
27	8	DNA topoisomerase 2-beta	Additional	DNA topoisomerase	Q02880	54	
28	8	DNA topoisomerase 3-alpha	Additional	DNA topoisomerase	Q13472	55	
29	8	DNA topoisomerase 3-beta-1	Additional	DNA topoisomerase	O95985	56	
30	8	DNA topoisomerase I, mitochondrial	Additional	DNA topoisomerase	Q969P6	57	
31	9	Activin receptor type-1 / ACVR1	Related	BMP type I receptor	Q04771	6	BE0000264
32	9	Bone morphogenetic protein receptor type-1A / BMPR1A	Related	BMP type I receptor	P36894	8	BE0009272
33	9	Bone morphogenetic protein receptor type-1B / BMPR1B	Related	BMP type I receptor	O00238	21	BE0009415
34	9	transforming growth factor beta, receptor type I	Additional	TGF-β Receptors	P36897	58	
35	9	transforming growth factor beta, receptor type II	Additional	TGF-β Receptors	P37173	59	
36	9	transforming growth factor beta, receptor type III	Additional	TGF-β Receptors	Q03167	60	
37	10	Interleukin-1 beta / IL-1β	Related		P01584	22	BE0001051
38	10	NACHT, LRR and PYD domains-containing protein 3 (NLRP3)	Related		Q96P20	9	
39	11	Protein disulfide-isomerase A3/ ERp57	Additional		P30101	61	BE0008980
40	12	TLR4	Related		O00206	23	BE0002442
41	12	HMG-CoA Reductase (HMGCR)	Additional		P04035	24	BE0000574
42	13	Nuclear factor NF-kappa-B p100 subunit	Related	Nuclear factor NF-kappa-B complex	Q00653	2	BE0009554
43	13	Nuclear factor NF-kappa-B p105 subunit	Related	Nuclear factor NF-kappa-B complex	P19838	3	BE0009554
44	13	Transcription factor p65	Related	Nuclear factor NF-kappa-B complex	Q04206	4	BE0009554
46	14	ADAMTS Like 4 / ADAMTSL4 	Related		Q6UY14	25	
47	14	Basigin (BSG)	Related	Gamma-Secretase	P35613	7	
48	14	Xanthine Oxidase	Related		P47989	26	BE0002204
49	14	Nitric oxide synthase, brain	Additional	NO Synthase	P29475	62	
50	14	Nitric oxide synthase, inducible	Additional	NO Synthase	P35228	63	
51	14	Nitric oxide synthase, endothelial	Additional	NO Synthase	P29474	64	
52	15	Transcription factor p65	Related	Nuclear factor NF-kappa-B complex	Q04206	4	BE0005551
53	15	Tumor necrosis factor	Additional		P01375	65	
54	15	Interleukin-1 beta	Additional		P01584	22	
55	15	Interleukin-6	Additional		P05231	66	
56	15	Nuclear factor NF-kappa-B p100 subunit	Additional	Nuclear factor NF-kappa-B complex	Q00653	2	
57	15	Nuclear factor NF-kappa-B p105 subunit	Additional	Nuclear factor NF-kappa-B complex	P19838	3	
58	16	Xanthine Oxidase	Additional		P47989	26	BE0002204
59	17	HMG-CoA reductase / HMGCR / 3-hydroxy-3-methylglutaryl-coenzyme A reductase	Related		P04035	24	BE0000574
60	17	Bone Morphogenetic Protein 2 (BMP-2)	Related		P12643	27	
61	17	Bone Morphogenetic Protein 6 (BMP-6) 	Related		P22004	28	
62	17	Transforming growth factor beta-1 (TGF-β1) 	Related		P01137	29	BE0000984 
63	17	Transforming growth factor beta-3 (TGF-β3)	Related		P10600	30	BE0004506 
64	17	Alkaline phosphatase, germ cell type (ALPG)	Additional	Alkaline phosphatase	P10696	67	
65	17	Alkaline phosphatase, placental type (ALPP)	Additional	Alkaline phosphatase	P05187	68	
66	17	Alkaline phosphatase, tissue-nonspecific isozyme (ALPL)	Additional	Alkaline phosphatase	P05186	1	
67	19	Bone Morphogenetic Protein 2 (BMP-2)	Related		P12643	27	
68	19	Bone Morphogenetic Protein 6 (BMP-6) 	Related		P22004	28	
69	19	Bone Morphogenetic Protein 4 (BMP-4) 	Related		P12644	98	
70	19	Alkaline phosphatase, germ cell type (ALPG)	Additional	Alkaline phosphatase	P10696	67	
71	19	Alkaline phosphatase, placental type (ALPP)	Additional	Alkaline phosphatase	P05187	68	
72	19	Alkaline phosphatase, tissue-nonspecific isozyme (ALPL)	Additional	Alkaline phosphatase	P05186	1	
73	20	NACHT, LRR and PYD domains-containing protein 3 (NLRP3, ATP-binding motif)	Related		Q96P20	9	
74	21	Nuclear factor NF-kappa-B p100 subunit	Related	Nuclear factor NF-kappa-B complex	Q00653	2	BE0009554
75	21	Nuclear factor NF-kappa-B p105 subunit	Related	Nuclear factor NF-kappa-B complex	P19838	3	BE0009554
76	21	Transcription factor p65	Related	Nuclear factor NF-kappa-B complex	Q04206	4	BE0009554
77	21	RAC-alpha serine/threonine-protein kinase	Related	Proteinkinase B / AKT:	P31749	31	BE0000428
78	21	RAC-beta serine/threonine-protein kinase	Related	Proteinkinase B / AKT:	P31751	32	
79	21	RAC-gamma serine/threonine-protein kinase	Related	Proteinkinase B / AKT:	Q9Y243	33	
80	21	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial	Additional		Q16134	69	
81	21	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic	Additional		P21695	42	
82	21	5'-AMP-activated protein kinase catalytic subunit alpha-1	Related	5' AMP-activated protein kinase	Q13131	11	BE0004907
83	21	5'-AMP-activated protein kinase catalytic subunit alpha-2	Related	5' AMP-activated protein kinase	P54646	34	BE0004907
84	21	5'-AMP-activated protein kinase subunit beta-1	Related	5' AMP-activated protein kinase	Q9Y478	35	BE0004907
85	21	5'-AMP-activated protein kinase subunit beta-2	Related	5' AMP-activated protein kinase	O43741	36	BE0004907
86	21	5'-AMP-activated protein kinase subunit gamma-1	Related	5' AMP-activated protein kinase	P54619	37	BE0004907
87	21	5'-AMP-activated protein kinase subunit gamma-2	Related	5' AMP-activated protein kinase	Q9UGJ0	38	BE0004907
88	21	5'-AMP-activated protein kinase subunit gamma-3	Related	5' AMP-activated protein kinase	Q9UGI9	39	BE0004907
89	22	Monoacylglycerol lipase / MGLL	Additional		Q99685	70	
90	22	Tumor necrosis factor	Additional		P01375	65	
91	22	Interleukin-1 beta	Additional		P01584	22	
92	22	Interleukin-6	Additional		P05231	66	
93	22	Nuclear factor NF-kappa-B p100 subunit	Additional	Nuclear factor NF-kappa-B complex	Q00653	2	BE0009554
